IDNum	Name	Height	Weight	time-1	time-2	time-3
4803	Athlete-0	6.1	223.9	10.3	9.9	10.1
4376	Athlete-1	5.8	202.4	10.5	9.9	10.4
1569	Athlete-2	6.4	206.1	9.8	10.5	10.5
1107	Athlete-3	6.4	174.7	10.5	10.5	10.4
2675	Athlete-4	6.3	182.4	10.4	10.2	10.5
3399	Athlete-5	6.1	229.2	10.4	10.0	9.8
2830	Athlete-6	5.7	173.2	10.5	9.9	10.1
4732	Athlete-7	5.9	196.9	10.2	10.2	10.5
2575	Athlete-8	5.9	229.1	10.1	9.8	10.3
4616	Athlete-9	5.9	185.3	10.1	10.1	10.1
3583	Athlete-10	6.2	238.5	10.1	9.8	10.4
4629	Athlete-11	6.0	187.9	9.8	10.2	10.4
 997	Athlete-12	5.6	185.2	9.8	9.7	10.6
4859	Athlete-13	6.6	170.0	10.0	10.2	9.7
4161	Athlete-14	6.4	230.5	9.9	9.8	10.2
2665	Athlete-15	6.3	163.0	9.8	10.3	10.5
2549	Athlete-16	5.8	175.9	9.8	10.6	9.7
2568	Athlete-17	5.9	240.0	9.8	9.9	10.5
4618	Athlete-18	5.6	193.5	10.5	9.7	10.3
1507	Athlete-19	6.5	197.9	9.7	10.5	9.9
2502	Athlete-20	6.0	183.1	10.0	10.5	10.5
4524	Athlete-21	5.9	224.7	9.9	9.7	10.5
1663	Athlete-22	5.8	225.9	10.2	10.3	10.1
2677	Athlete-23	6.0	174.8	9.7	10.1	9.7
4345	Athlete-24	6.4	183.9	10.5	9.7	10.4
1036	Athlete-25	5.9	212.1	10.0	10.4	9.8
 901	Athlete-26	6.2	232.5	10.5	10.1	10.2
4398	Athlete-27	6.4	184.2	10.3	10.3	9.8
4763	Athlete-28	5.7	214.3	10.4	10.1	10.4
1678	Athlete-29	6.4	224.7	10.0	10.6	9.8
2784	Athlete-30	6.1	227.2	10.4	10.0	10.5
4669	Athlete-31	5.9	170.8	10.5	10.4	10.4
 800	Athlete-32	6.4	184.2	10.5	10.0	10.5
3781	Athlete-33	6.1	224.6	10.4	9.7	9.9
4263	Athlete-34	5.6	219.1	9.8	10.2	10.3
4805	Athlete-35	5.7	236.5	10.4	10.4	9.8
3913	Athlete-36	5.7	172.3	9.8	10.0	10.2
1338	Athlete-37	6.1	192.8	10.4	9.7	10.6
1996	Athlete-38	6.0	180.4	10.1	9.8	9.9
3411	Athlete-39	5.8	222.2	10.2	10.3	10.1
1634	Athlete-40	5.7	201.6	10.5	10.0	10.2
1577	Athlete-41	6.3	239.8	10.4	10.1	9.9
1963	Athlete-42	5.6	168.0	9.9	9.8	10.0
2589	Athlete-43	6.6	239.0	10.2	10.0	10.1
4823	Athlete-44	6.2	165.1	10.0	10.2	10.3
1391	Athlete-45	6.5	200.6	10.0	10.5	10.3
4883	Athlete-46	6.0	205.3	9.9	10.4	10.1
1610	Athlete-47	6.3	216.5	10.4	9.8	10.2
2688	Athlete-48	5.7	171.2	10.5	10.5	10.3
4416	Athlete-49	5.8	176.9	10.5	10.0	10.0
4040	Athlete-50	6.0	225.6	10.1	9.7	10.5
2922	Athlete-51	6.6	164.5	10.2	9.9	10.4
3616	Athlete-52	6.3	204.9	10.5	10.1	10.3
1309	Athlete-53	6.0	219.9	10.0	10.2	10.4
1699	Athlete-54	6.2	238.6	10.0	9.9	10.2
3792	Athlete-55	6.4	215.5	9.7	10.0	9.8
2297	Athlete-56	6.0	232.7	10.3	9.9	10.4
4869	Athlete-57	6.2	220.2	9.8	9.8	10.4
